"","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","AUC"
"1",1500,5,0.01,2e-04,0.3,0.5,0.7,0.720090313798995
"3",1500,5,0.01,2e-04,0.3,1.5,0.7,0.719546702569107
"5",1500,5,0.01,2e-04,0.5,1,0.7,0.719426541099975
"6",1500,5,0.01,2e-04,0.5,1.5,0.7,0.719247183028753
"9",1500,5,0.01,2e-04,0.7,1.5,0.7,0.719228245028889
"8",1500,5,0.01,2e-04,0.7,1,0.7,0.719146857880791
"2",1500,5,0.01,2e-04,0.3,1,0.7,0.719054569132753
"4",1500,5,0.01,2e-04,0.5,0.5,0.7,0.719017548628421
"7",1500,5,0.01,2e-04,0.7,0.5,0.7,0.71887978427019
