"","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","AUC"
"6",1500,6,0.01,2e-04,0.5,1.5,0.7,0.717365491805746
"3",1500,6,0.01,2e-04,0.3,1.5,0.7,0.717128795450324
"1",1500,6,0.01,2e-04,0.3,0.5,0.7,0.716925873576021
"2",1500,6,0.01,2e-04,0.3,1,0.7,0.71675865349793
"4",1500,6,0.01,2e-04,0.5,0.5,0.7,0.716665134133682
"5",1500,6,0.01,2e-04,0.5,1,0.7,0.715666118437319
"9",1500,6,0.01,2e-04,0.7,1.5,0.7,0.715584709480911
"7",1500,6,0.01,2e-04,0.7,0.5,0.7,0.715444843443892
"8",1500,6,0.01,2e-04,0.7,1,0.7,0.715307567848054
