"","model","test_AUC","layers","units","reg_method"
"1","nn1",0.666367306503683,3,50,"none"
"2","nn2",0.679689278520111,5,50,"none"
"3","nn3",0.669947722478144,2,100,"none"
"4","nn_reg1",0.684240750438109,3,50,"15% droput"
"5","nn_reg2",0.679826197305512,5,50,"15% droput"
"6","nn_reg3",0.677982412402256,2,100,"15% droput"
